FLIGHT_DATE,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
1/1/15,DL,2359,RSW,CVG,10:44:00 AM,10:38:00 AM,-6,10,10:48:00 AM,142,141,126,879,1:54:00 AM,5,1:06:00 PM,12:59:00 PM,-7,0,0,,,,,,
1/1/15,DL,2641,TPA,CVG,10:55:00 AM,11:03:00 AM,8,10,11:13:00 AM,133,125,110,773,1:03:00 AM,5,1:08:00 PM,1:08:00 PM,0,0,0,,,,,,
1/1/15,MQ,3491,CVG,DFW,10:55:00 AM,10:53:00 AM,-2,11,11:04:00 AM,160,162,145,812,1:29:00 AM,6,12:35:00 PM,12:35:00 PM,0,0,0,,,,,,
1/1/15,MQ,2904,DFW,CVG,11:05:00 AM,,,,,123,,,812,,,2:08:00 PM,,,0,1,B,,,,,
1/1/15,DL,2411,CVG,ATL,11:15:00 AM,11:14:00 AM,-1,9,11:23:00 AM,98,81,67,373,1:30:00 AM,5,12:53:00 PM,12:35:00 PM,-18,0,0,,,,,,
1/1/15,MQ,2999,ORD,CVG,11:20:00 AM,11:27:00 AM,7,14,11:41:00 AM,73,58,40,265,1:21:00 AM,4,1:33:00 PM,1:25:00 PM,-8,0,0,,,,,,
1/1/15,EV,4448,CVG,IAH,11:37:00 AM,11:53:00 AM,16,8,12:01:00 PM,171,182,159,871,1:40:00 AM,15,1:28:00 PM,1:55:00 PM,27,0,0,,11,0,16,0,0
1/1/15,MQ,3213,CVG,ORD,11:45:00 AM,11:41:00 AM,-4,18,11:59:00 AM,90,82,51,265,1:50:00 AM,13,12:15:00 PM,12:03:00 PM,-12,0,0,,,,,,
1/1/15,DL,1955,ATL,CVG,12:05:00 PM,12:01:00 PM,-4,15,12:16:00 PM,86,84,64,373,1:20:00 AM,5,1:31:00 PM,1:25:00 PM,-6,0,0,,,,,,
1/1/15,DL,1581,LAX,CVG,12:20:00 PM,12:25:00 PM,5,18,12:43:00 PM,245,234,210,1900,1:13:00 AM,6,7:25:00 PM,7:19:00 PM,-6,0,0,,,,,,
1/1/15,DL,2367,FLL,CVG,12:55:00 PM,12:49:00 PM,-6,16,1:05:00 PM,159,161,136,932,1:21:00 AM,9,3:34:00 PM,3:30:00 PM,-4,0,0,,,,,,
1/1/15,MQ,3054,CVG,JFK,12:55:00 PM,12:48:00 PM,-7,10,12:58:00 PM,115,104,87,589,1:25:00 AM,7,2:50:00 PM,2:32:00 PM,-18,0,0,,,,,,
